iter	Passed	Remaining
725	2836	1070
726	2839	1066
727	2842	1062
728	2845	1057
729	2848	1053
730	2853	1050
731	2856	1045
732	2860	1041
733	2863	1037
734	2866	1033
735	2870	1029
736	2873	1025
737	2876	1021
738	2878	1016
739	2881	1012
740	2885	1008
741	2889	1004
742	2893	1000
743	2896	996
744	2898	992
745	2901	988
746	2904	983
747	2907	979
748	2910	975
749	2913	971
750	2917	967
751	2921	963
752	2925	959
753	2928	955
754	2931	951
755	2934	947
756	2937	942
757	2939	938
758	2942	934
759	2946	930
760	2952	927
761	2956	923
762	2959	919
763	2962	915
764	2965	910
765	2968	906
766	2971	902
767	2974	898
768	2977	894
769	2982	890
770	2986	886
771	2989	882
772	2993	879
773	2996	875
774	3000	871
775	3003	867
776	3006	862
777	3012	859
778	3016	855
779	3020	851
780	3023	847
781	3026	843
782	3029	839
783	3032	835
784	3035	831
785	3038	827
786	3041	823
787	3045	819
788	3049	815
789	3052	811
790	3055	807
791	3058	803
792	3061	799
793	3064	795
794	3067	790
795	3070	786
796	3073	782
797	3076	778
798	3080	774
799	3083	770
800	3086	766
801	3089	762
802	3093	758
803	3095	754
804	3098	750
805	3102	746
806	3104	742
807	3108	738
808	3111	734
809	3114	730
810	3118	726
811	3121	722
812	3124	718
813	3127	714
814	3130	710
815	3133	706
816	3136	702
817	3140	698
818	3143	694
819	3147	690
820	3150	686
821	3153	682
822	3156	678
823	3159	674
824	3162	670
825	3165	666
826	3169	663
827	3173	659
828	3176	655
829	3180	651
830	3183	647
831	3186	643
832	3189	639
833	3191	635
834	3195	631
835	3198	627
836	3201	623
837	3205	619
838	3208	615
839	3212	611
840	3215	607
841	3218	603
842	3221	599
843	3224	596
844	3227	592
845	3232	588
846	3237	584
847	3240	580
848	3244	577
849	3247	573
850	3250	569
851	3253	565
852	3256	561
853	3259	557
854	3262	553
855	3267	549
856	3270	545
857	3274	541
858	3277	537
859	3280	534
860	3283	530
861	3286	526
862	3288	522
863	3292	518
864	3295	514
865	3298	510
866	3302	506
867	3305	502
868	3309	498
869	3311	494
870	3314	490
871	3318	487
872	3320	483
873	3323	479
874	3327	475
875	3331	471
876	3333	467
877	3337	463
878	3341	459
879	3344	456
880	3347	452
881	3349	448
882	3352	444
883	3356	440
884	3358	436
885	3362	432
886	3366	428
887	3370	425
888	3373	421
889	3376	417
890	3379	413
891	3382	409
892	3385	405
893	3388	401
894	3391	397
895	3395	394
896	3399	390
897	3402	386
898	3405	382
899	3408	378
900	3412	374
901	3415	371
902	3417	367
903	3420	363
904	3424	359
905	3427	355
906	3431	351
907	3434	348
908	3437	344
909	3441	340
910	3443	336
911	3446	332
912	3449	328
913	3452	324
914	3455	321
915	3459	317
916	3463	313
917	3466	309
918	3469	305
919	3472	301
920	3475	298
921	3478	294
922	3481	290
923	3483	286
924	3486	282
925	3490	278
926	3494	275
927	3497	271
928	3500	267
929	3503	263
930	3506	259
931	3509	256
932	3512	252
933	3515	248
934	3518	244
935	3522	240
936	3525	237
937	3529	233
938	3532	229
939	3535	225
940	3538	221
941	3542	218
942	3545	214
943	3548	210
944	3551	206
945	3554	202
946	3557	199
947	3561	195
948	3568	191
949	3571	187
950	3574	184
951	3576	180
952	3580	176
953	3583	172
954	3587	169
955	3593	165
956	3597	161
957	3600	157
958	3603	154
959	3605	150
960	3609	146
961	3612	142
962	3615	138
963	3619	135
964	3623	131
965	3628	127
966	3631	123
967	3634	120
968	3637	116
969	3640	112
970	3642	108
971	3645	105
972	3649	101
973	3654	97
974	3658	93
975	3661	90
976	3665	86
977	3668	82
978	3671	78
979	3674	74
980	3677	71
981	3680	67
982	3684	63
983	3690	60
984	3693	56
985	3696	52
986	3699	48
987	3702	44
988	3705	41
989	3708	37
990	3711	33
991	3718	29
992	3721	26
993	3724	22
994	3727	18
995	3730	14
996	3733	11
997	3737	7
998	3740	3
999	3745	0
